text,label_raw,stars,char_length,word_length
"I am from Houston, TX and the only similarities are the queso and the restaurant design. I got a taco and enchilada and the taco was good but the enchilada was terrible. I can't even describe how it tasted besides bad. The waitress was really nice. Keep them, change the chefs.",1,2,277,51
"This company was a nightmare to work with. They initially started the work on the pool replaster and spa addition promptly, in order to collect the first two payments, but that is when the work pretty much stopped. Nothing got done for weeks. When work was done, it was unsupervised, and thus some things needed to be redone multiple times to get them done right, such as moving the PVC pipe covered utilities away from the pool, where the workers had placed them sticking 3 feet up from the ground, right next to the spa. It took two times before they placed behind the fountain where they could not be seen. They also had problems tiling the fountain backsplash, and when they had to tear it up, they put all their garbage in my recycling bin. Fortunately I noticed it, as I am sure I would have been fined by city of Scottsdale  had I not. He very reluctantly came to empty the can, and seemed to think it was quite unreasonable for me to ask for him to do that. The last straw was when they dug the gas line. He did not supervise or use a locator service and when I returned from my trip, I found power outages all aver the house. Turned out that they had hit an electrical conduit, and damaged it so severely that it pulled wires out of the wall on a sub panel. Then instead of owning up to it, they covered it up. Bill of course was right there trying to collect his final bill before this damage was discovered. I refused to pay it at the time because the yard was left a total mess. When he saw the electricians in the yard, he was acting very nervous, and told them that they did not  do anything. It took 3 electricians hours to locate the damage, and when they did, he refused to take any responsibility initially what so ever. I however had all the proof I needed, and eventually he paid about $1,300.00 of a $2,100.00 bill. If you are thinking of getting any pool work done, stay away from this company!\nAnita C.",0,1,1926,364
Every time I've been to this Denny's the service is horrible. I tried it a few times because the first time I went was later in the night so I thought if give it another shot but every time I've gone nothing has changed.,0,1,220,44
It depends on who you get to serve you.  Make sure you ask not to be waited on by Sweaty Waiter. It is so gross to watch the sweat drop off this guy.  He is so sweaty that he constantly has to push up his glasses.  One time I told the manager about him and told him he shouldn't be waiting tables.  The manager said his hands were tied because Sweaty Waiter was a friend of the owners family.  I told him that the waiter was disgustingly sweaty and he needed to towel off and have extra shirts.  The manager told me he does towel off and change shirts but it doesnt help.  Then later he sent him home and told us he was sweating more than usual because he wasn't feeling well. So gross.,1,2,686,135
"My date and I decided to try something new and stopped at The Lodge for Happy Hour.  We were really pleased with the prices, and all the bartenders/servers seemed really friendly.  And the deep fried cheese curds were to die for!  (I am from Wisconsin, after all.)  However, the bar stools are INCREDIBLY UNCOMFORTABLE.  We didn't stay long, but thought we liked it enough to try it again...at a table next time.\n\nP.S.  We couldn't decide whether to Yelp about the so-scantily-clad-it-was-almost-inappropriate server.  I mean, I know it's a bar and she's working for tips but...geezuz....it made us look around the bar for her pole.",2,3,634,104
Yes the pizza is the best in the burgh.  But don't don't forget the wings.  They also have the best wings in the burgh.  They don't deliver.  They don't have to.  I'd drive for miles.,4,5,183,35
"Well I went in here looking for gifts for others, but only came out with stuff for myself....hummmm something is wrong with this picture! \nI love Ross stores, I shouldn't have even started looking for stuff for me, it get's me every time!",3,4,239,43
"I don't understand why the ratings are so low at this Red Lobster.   Had the shrimp and the rock fish.  Both were prepared well.  The piece of rock fish was much too small for my husband. That needs to be worked on.  I noticed that the baked potato got smaller.  That's OK--maybe my waistline will too.   The garden salad was mostly iceberg lettuce with chopped tomatoes, chopped cucumber and one red onion ring.  I would have added two black olives and a few garbanzos to make it look like real salad---variety.  But I don't think that it is Red Lobster's formula.  Chain restaurants follow a formula and recipe on everything for consistency.  But I suggest they rework their salads to include some rocket greens along with iceberg.  The shrimp were fried perfectly and not greasy.  I noticed they don't offer an extra round of their DELICIOUS biscuits---my waistline appreciates it.  The cocktail I ordered was more a blend of juices than any alcohol.  Before ordering it I asked whether it would have enough alcohol and Pattie said yes.  Well it didn't and that's why I taking off a star.  A cocktail should make the drinker feel good and enjoy it.  I basically ordered a glass of mixed juices.\nI liked our waitress (PATTIE)  she was very helpful with my husband's order....OOPS, did I forget to say that they were out of Cod?   My husband went there specifically for the cod since he does not eat shellfish and the last time he didn't like the flounder.  So he ended up having to settle.   So I am taking off one star for no COD and for the alcohol-less cocktail.  Otherwise the food is OK.  \nThanks, Pattie.  You were really helpful!",2,3,1640,287
"It's just not that good. We initially told the waitress that we only going to order appetizers and desert. My code for \""we read on Yelp this place sucks, but we wanted to give it a try\"" to which she replied they don't alow that but I will let it slide. The food could have come from a buffet and been better. I hate to be super negative, but in this case I am just being real.",0,1,378,77
"My husband and I stayed here over the holidays as we were visiting family and needed a private retreat to escape to at the end of the day...This place is such the decadence!  Of course there's a price for that but sometimes you just got to treat yourself.  It was also my birthday that week and my husband had made mention of it when booking our reservations..  We arrived about 1:00 in the afternoon..just driving up through the gates are a treat in itself..beautiful landscaping and there is the hotel set up against Camelback Mountain.   You have to stop at a guard who asks you if your checking in and you tell him your name and are let thru.  We decided to do self parking instead of valet because paying 39 dollars a day is not how I want to spend the enormous amount of money I knew I'd be spending on better things like the spa, restaurants, drinks.\nThe lobby is so spacious with marble floors, fountain and lots of windows to view the scenery.  Check in was very fast..the guard must let the front desk know your here as they as our room keys were all ready to go!  When we got to our room I was so happy on how big and modern the decor was..  It's a 600 sq, foot room with a double sided sliding glass which opens to this huge balcony with two chairs, a table and a long lounge chair..  We had got the highest floor (4th) with a pool view..ask for that if you ever go as it's the premium view..\nThere was a bottle of champagne chilling on ice with two glasses (compliments of the hotel) for my birthday and a card welcoming us.  The bathrooms are all done in marble with a sunken tub, full sized tolietries from their spa (Eucalyptus/grapefruit) and two big fluffy robes hanging up next to the tub.  A CD was playing some classical music, I guess to set the mood for the elegance and I'll tell you, I did not want to leave the room EVER!  \nWe ate a few times at \""The Terrace\"" which you had a choice of indoor or outdoor dining.  great food and excellent service.. The only thing I didn't enjoy was the many families with a lot of kids who dined there..very noisy at times..but then my husband and I are child free by choice so I guess we get a little grumpy when we are around misbehaving kids.  They also have a lounge and at night you can sit out on a high overlook, with fire pits for a chilly Arizona night and have some very tasty cocktails..  We also used the spa one day, my husband had a massage and I just used their sauna, steam room, whirlpool and the meditation garden sipping some herbal teas..I loved it!  They have over 5 pools scattered around the place, at night we went swimming and then used their enormous hot tub!  I can't wait to go back to this place..it's worth the extra money to be treated well, and to have a relaxing time...",3,4,2767,522
"I have been wanting to try City Tavern for a while now. I feel as if I should have tried them years ago. It almost seems as if the restaurant may be cutting corners. The food is subpar. Most of what I had was previously frozen. My egg roll was cold in the middle and the calamari was incredibly chewy. My \""sushi grade\"" tuna was pink, not red. It was basically over priced bar fare.",0,1,383,75
"Not bad, but no great shakes.  The \""large\"" pulled pork sandwich was hefty, but kinda bland.  Lots of sauce helped.  Sweet potato fries were underdone and way too cinnamon-sugared.  Service was indifferent.  You can get better barbecue in plenty of places in Phoenix.",1,2,268,43
"So the secret is finally out!- I was wondering when a yelper would discover this little gem and it's time has come :) \n\n I came here in October of last year when Kim's had just opened- they are absolutely lovely here and even gave us a few extra dishes since we were newbies to Korean food and they were newbies in Edinburgh. They take proud in their food, everything is home cooked and if you do decide to divulge in this small establishment I strongly recommend you book in advance ! They even often less hot dishes for the weaker ones like myself.\n\nDefinitely a must!",4,5,574,106
"Customer service sucks. They say one thing & do another. If your looking for a good gun shop in henderson, go to spurlocks. \nNever again will they have my business nor the rest of my families that went there.",0,1,209,39
"I had the pleasure of being exposed to Kaleidoscope even before it was named. I have tried many of the juices that are made by them everything is Ammmazing... If you are looking for health improvement take a \""Juice Cleanse Challenge\"". To be honest Alexandra (the owner) may not even know what that means but just tell her Rich said do a Juice Cleanse and she will set you up..\n\nWell worth it!",4,5,396,72
"Disappointing. Went here today; service was  all over the place. We got our sushi first, miso soup second and appetizers last. Be cautious; spicy tuna is my staple but they use bone scrape tuna and that is low grade, gross tuna flake meat scrubbed of the bones. The king crab came out half filled with rice and it was $6.50. Don't cut corners and jip customers. We won't be back, there are better quality places around the valley.",0,1,430,78
"We went here before going to the airport on our last night in Vegas.  Food was just okay, but the service was TERRIBLE despite it being a slow Monday night.  The waiter was young and inexperienced (and since we were a party of six gratuity was already added so he must have thought he didn't need to try hard).  It wasn't until after I got home and checked my bank statement did I see that he had helped himself to $103.00 tip.  My receipt shows a bill for $33.00.  After calling the manager several times with no response, I will be filing a fraudulent claim with my bank.  Just thought I would let fellow diners know that there are so many better options on the strip and customer service here is severely flawed.",0,1,715,133
"Service was okay.\n\nFood portions were good for the price, but the food itself sucked. \nThe chicken didn't taste like meat, and the spicy eggplant wasn't spicy. The fried rice was okay, but didn't taste like much either. \n\nSkip this place.",0,1,243,40
"Always a great place to bring our little one (4 years old) Games are Fun, pizza is always great. Prices haven't changed much over the years. Highly recommend for anytime of day and any occasion.",4,5,194,35
Excellent customer service.  Owner can answer all your questions.  Lots of different types of species.  You need it this store has it or can you help you find it!,4,5,162,29
"For my husband and I...Queens is a solid 3 star pizza place.  We showed up at 12:15pm on a Tuesday to order some quick slices of pizza & a salad (2 of their lunch specials).  \n\nThe staff was friendly.  But upon ordering our 2 lunch specials, we encountered a problem....no pizza to be seen.  They literally had 2 odd veggie/pineapple slices sitting there.  We asked if they had any in the oven and were told \""nope\"" & that they would put in whatever we wanted - it would be about 15 minutes.  I also ordered a spinach/gorgonzola/raspberry vinaigrette salad.  The salad was huge for the price - it was 100% baby spinach, sliced cucumbers, sliced tomatoes, gorgonzola & dressing.\n\nAs we sat waiting for our pizza, others came in to also order lunch specials - they too were told that a new pizza needed to be put into the oven and it would be about 15 minutes.  After about 10-15 minutes I asked if I could have my salad while we waited (it was sitting behind the counter anyway....why not just pass it over to me?).  \n\nFinally about 15+ minutes into our wait we get to taste this amazing pizza I have heard all about.....drummmmm roll please.......the result was \""meh\"".  Dont get me wrong - its not bad at all....just average.  The sauce was a little on the spicy side (I know my little one wouldn't have like it) - hubby even asked if I put pepper on the slices. \n\nMostly the 3 stars reflects the wait for the \""lunch special\"".  Most pizza joints have pizzas ready & waiting for you so you can grab & go.",2,3,1516,276
Id never use them again first of the Unprofessional driver that came to my house didnt want to do here job she kept on makn exscuses about parking and power not my problem and there was plenty of parking my Himalayan Persian if u can believe what that is in the pick got brought back to my door with her hair hacked of in patches long in sm places short in others all wrong i work for huge cell ph company and  ill be sure to share this Experience in front of 10s of thousand co workers when your dealing with peoples animals those are there kids u wouldnt bring sm ones kid home soking wet then to add Insult to injury the cut was 65 with a 15 traveling fee i gave that lady 100 she gave me back 15 like i was sm domb ass id never give a tip for such a horible job custermer care girl on ph did apologize and offer to send another person to fix what that machanic lady who should be only washing cars not cats Unfortunately my cats to screw up to be fixed id rather just let her hair grow back verses puting her threw that shit again,0,1,1034,208
"I joined the crew last night for the HH organized by the fabulous Christina P. Although it was my first visit and I generally like to sample a place a few times before reviewing, there were so many of us there that I felt that I had gotten a pretty well-rounded experience and had enough information to provide input. \n\nPhoenix is known for its host of strip mall restaurants, but few can actually transport you to another place. The restaurant interior is a mix of kitschy Italian and moderately nice mainstream. The main patio is actually about the same size as the restaurant interior and is flanked by two cute NYC street scenes (think universal studios city scene) with each window telling a different story and the Statue of Liberty holding court. Very quaint! The back of the patio is taken up by a complete bar. The fire pit that others have mentioned is situated in the middle. The patio is clearly the place to be at this venue!\n\nService was spot on, which was unexpected for such a large group. I have to echo Georgie S., the bartender seemed to single handedly (with the exception of bussing support) kept our brood quenched and fed with no errors. He asked each guests name upon their initial order and remembered them throughout the remainder of the evening. No simple feet, if you consider that we had at least 20 people in our party and he was also serving the numerous other guests that shared our al fresco setting.\n\nThe manager Matt, came out to thank us for coming by and informed us that there is a separate patio in the back to accommodate private parties/functions. What a divine setting for almost any family or business gathering!\n\nIn addition to the ambience and service, there is the food... Oddly one of the best things of the evening was the free appetizer provided to each table, which consists of bread and a parmesan/pesto dipping sauce that is so infused with garlic that its sweet fragrance swirls in the air. Now as Bacon B. points out, this will stay with you (i.e.: if you are on a date, you should both eat some) but it is seriously out of this world! I also really enjoyed the bruschetta, which is a classic take on the dish in every aspect except size. More often than not you will receive four or six small slices of toast with some tomatoes and basil carefully assembled on top, but not here... instead you will be served a small flatbread mounded with fresh hand cut tomatoes, chiffonades of basil and more of that dreamy garlic.\n\nI was also able to sample two of the new pizza offerings. The Roberto's (ironically offered up by the fabulous Robert M.), which was set off by a sprinkling of pepperocinis offering just a little kick, and the White pizza which had more of those rich garlic undertones. Although I enjoyed the toppings on each of the pizzas, I was left wanting more from the crust. Both were uniform in size and shape and a little on the tough / dense side, which made me wonder if they were not made in house. That said, it was not enough to detract from the overall experience and I will definitely be back in the near future.",3,4,3095,556
"Awesome place.  Awesome deal for locals.\n\nThis place has great prices on blowouts and the fact that it's in Townsquare doesn't hurt!  My friend and I had blowouts and she also had her eye makeup done.  At first I thought it was a little pricey just for eye makeup...until I saw how good it looked.  I can't remember her name but this chick is INCREDIBLE.  Seriously.  Her eyes still looked just as glam the next day (and yes, she definitely rocked that same makeup the next day at the pool)!  \n\nI'm definitely going back and next time I'll have my makeup done too!",4,5,568,102
"Came excited that a cupcake place is just by the house as I love cupcakery, but thats a little ways away. \n\nGot red velvet (one of my favorite kinds of cupcake) and carrot and they had these pupcakes for dogs that was apple cake with a dog bone cookie in it ($1). \n\nCarrot was good and moist enough, but felt it could use a little more. Red Velvet was a real disappointment....it tasted off/spoilt and it also tasted kind of plastic-y...wtf? The creamcheese frosting tasted okay and wasnt spoilt so I dont know what the hell was up with that cake. We took a bite and we threw them away- glad we got only two of each flavor to start. Still sad that 4 people had to share 2 cupcakes for dessert.\n\n Now about the pupcakes.... my dog and my mother in laws dogs wouldn't eat them. It was kinda odd, specially from my mother in laws fatty that ate everything. They took the dog cookie off the top and left the cake alone. Fatty Masie only ate a bite when we coaxed and hand fed it but he didnt pick up the rest from the floor for a second bite. They already slobbered on them or else I woulda tried a piece to see if something was wrong with them. \n\nTo be fair maybe I'll try another cupcake...but I'm far more inclined to go same Retro bakery down the street with their higher ratings. Seems like at their best this place will just be A-Ok, I want more than that for my $2.50 and will just go to Cupcakery which we pass by every weekend to get to my mother-in-laws, but I have a feeling I'm going to love Retro Bakery as well.",1,2,1529,294
"Excellent food, drinks, service, and ambience. I have not been let down by a dish yet. If you've never been here, I'd highly recommend that you try it. You won't be disappointed.",4,5,178,32
"I just completed a trade in for a new watch. I couldn't have asked for better service or better value. if you're looking for a new watch, this is the place.",4,5,156,31
Food was enjoyable and there was plenty. I just hate when restaurants cheapen the quality of the meat. The steak used to be actual steak but is now a cheap philly steak type of thing and charging for the sauce that used to be put on the food is a bit much as well.,2,3,264,54
"I have visited three times now for three different purposes and I am confident that the yelptariat is correct in its average of 3.5 stars.\n\nFirst time, I came for a quick bite and meeting. It was just okay, but this was also over a year ago. Then, last spring, I came for a working lunch that the \""working\"" portion was over before the appetizers were even cleared from the table. It took forEVER to get our food. We were there for probably 2.5-3 hours in total for what should have been an hour and a half meal, tops. I had the chicken sandwich, which was seriously lacking in flavor, but huge in portion. If food is gross, who cares about how much you get, you know? \n\nThe last visit I made was with my girl Dana. We sat at the bar for happy hour and this was the best visit of them all. The drinks are truly magnificent (I had never drank here before) and on the happy hour menu, some are half-price, giving you what is truly worth the $15 for $7. \n\nWe got some appetizers--mac and cheese, oysters, and pork fries--which were all pretty decent, save for the pork fries. Some of the pork belly was the delicious, fatty, tender kind, others was tough and gross and chewy and frankly, not fit for human consumption. I evolved to have less sharp teeth than a dog for a reason and I can't gnash through that shit. \n\nI'd like to try the dinner menu sometime--the view is great, the atmosphere is too--but I think that three visits suffices. It's just okay, but it's not the best thing ever on the Strip.",3,4,1509,281
Very brisk for Christmas lunch. I strongly recommend reservations. It is very humourous that they would turn us away when the place was empty when we walked in (see picture). But clearly a popular place and by the time we left every table in the place was full. \n\nWithout a reservation in busy Christmas lunch season I would recommend a reservation for anything more than 2 people. We sat at the bar.\n\nExpensive lunch:\n$10 soup\nLunch special $19 soup and pasta\n\nFood was ok.... one of my colleagues had to send the lunch special back and the meat was raw. To their their credit they did check shortly after the first bite and were quick to bring a new plate out.\n\nI have great respect for restaurants that have staff that can recognize a problem quickly. I think this was reflected in the tip.,2,3,803,140
"overpriced over-the-counter candy.  also, my daughter saw the hello kitty pre-packaged candy (she's 2 years old) and started fiddling with the containers. not banging around, not throwing.  she would take them out of the box then put them back in.  yes, it's probably mildly annoying. but she's 2, and it IS a candy store. \nemployee came and reprimanded her.",0,1,359,59
"Apparently, I am in the minority with my opinion of this place.  While the coffee is good, it shouldn't take 20 minutes to process my order.  I don't care if they are personally flying to Columbia right after I order to hand pick the beans right before they make it...20 minutes is unacceptable. \n\nAnd then when I place my order, I shouldn't be insulted by the guy making it.  Yes, I asked for non-fat milk.  I didn't ask you to put Ketchup in my drink, I asked for non-fat milk.  Don't treat me like I am mentally challenged.  I weigh 165lbs, do you really think I order non-fat because I am concerned with my weight?  No business should EVER ask a customer what the point of their order is the way this dude asked me.  \n\nI want to like this place, I do.  The atmosphere and location were great, and the hot tattooed blond sitting at the counter was fun to flirt with (I think she could tell the guy annoyed me).  So for this, I will give it another shot.  A lot of the people I know rave about this place.  Maybe I just hit it on an off day.  If I get the same attitude the next time, I might drop trough mid store.",1,2,1121,216
"ll the items on the menu sounded good, but nothing jumped out as \""must try\"". Our dinner reservation was at 8:30, but we got there early. The bar seats were all taken and the area didn't seem inviting so we went elsewhere for a drink. We got back at 8:30 and got seated at a dirty table. We ordered a sangria which was not great (I'm kind of a sangria snob). It was very  heavy on brandy or some other sweet liquor. We ordered the Tortilla Espanola and Artichokes and Clams, but they were both sold out. We ended up with the Spinach and Goat Cheese Croquettas, which we liked. We also ordered the Gambas Al Ajillo (shrimp had great flavor), Calamari (ok, but lay off the mayo (aoili) served with all seafood), and Pollo Colonial (was the best). The portions were not small, but for the price, I'm not sure we were greatly satisfied. Overall, the experience was only ok.",2,3,870,161
"Our us airways flight from Santa Barbara to Phoenix was on time, smooth, without delay and renewed my faith in the idea of flying versus driving, etc.   \n\nHowever, my return flight shook my faith in this mode of transportation. We arrived to check in at sky harbor only to be told that it was too late to check in.  Our flight was for 5:49pm. It was 5:10pm.  We were told by our eye-fluttering attendant typing at the keyboard with a fake smile that we needed to arrive at least 45 minutes prior to departure.  We lost are already paid for seats.  Resisting the urge to grab him by the neck and bang his head on the counter to see what would fall out, I politely asked for options which he responded with two: 1) wait until 9:00 pm to fly standby 2) or depart the next morning at 8:30am.  Not wanting to wait fora hours to see if we could board an oversold flight, we chose the latter option. \n\nWhen we arrived in the morning to a chaotic crowd of passengers, there was little direction by us airways employees.  Instead they only contributed to the chaos by giving vague directions.  They wouldn't last five minutes in my classroom.  Clearly some employee training is overdue here. \n\nWhen we finally checked ourselves in, we faced gates changes, delays due to maintenance, and an ever increasing amount if disgruntled travelers surrounding us.  I'm glad it's over.  No more US Airways.",0,1,1392,247
"The \""R.J. Review for Best in Las Vegas\"" stickers aren't theirs, it belonged to the restaurant that was there before them and I assume they leave it up to scam people into thinking their quality is good.\n\nI came in here and sat down, no one greeted me or came up to me, I was the only person in the place and there were clearly atleast two workers who noticed me and ignored me. Waited about 2 minutes before walking out and going across the street to get sushi. I guess this place doesn't like making money.",0,1,511,96
"Hawaiian BBq at its best. Love their hawaiian food and especially their chinese food. They have many selections to choose from the famous loco moco to salt and pepper shrimp and more. Big food portions with great taste. Nice and clean place to eat. Cooks are very good at producing great tasting island food and chinese food, best of both worlds. Good eats for good prices.",4,5,373,66
"Solid persian food.  Have the beef platter - it comes with some kind of ground beef and sirloin on skewers.  Served on a bed of saffron rice.  Its all very delicious, and even better the next day.  $20/plate, but you can share between 2 people and be full.  Love the complimentary pita bread!",3,4,292,53
"We came here on a regular basis until they started wrapping our three rolled tacos with cheese and guacamole in paper rather than the little black boxes that always came in. Now the guac I get charged extra for, is all over the paper and not on my tacos. I'll go elsewhere moving forward.",1,2,288,54
"This place is such an easy target, its like piling on the fat, pimply kid in high school.  Here's what you need to know\n\n1.  Girls in uniform with things out that you can sadly and quite accidentally observe\n2.  They have hamburgers, hot dogs, and beer\n3.  Beer is PBR or the Champagne of Beers.  No other choices.\n4.  Diner style seating, long high tops, patios with umbrellas\n5.  Three high quality HD LCD screens in a decent, elevated spot.\n6.  There will be some shiesty characters present. \n7.  Don't go here with your girlfriend.\n\nTheir screens and ironic selection of beers earns 'em two stars.",1,2,611,100
Used a groupon prepaid copon for dinner.  Service was very good; after that not so good.  Food was luke warm and the salad was just average.  The Gyro plate was greasey and bland.  For $9.00+ it should have been much better.  I have had Greek food at many places and this one is at the bottom of the list.  I would pass on this one.,0,1,332,65
"It was hot outside, but cool inside. We went for an AYCE lunch and enjoyed every bite. The service was fast and friendly. This is no non-sense eating establishment. Most of the clientele with the exception of yours truly were locals. The experience was good, presentation of the food was nice and everything was fresh. We will be back. I have the feeling that if you go for dinner you better plan on waiting cause this place is a local favorite.",3,4,445,81
"I'm surprise they are still around since Lululemon has been forced out of cities (such as in Cambridge, Ma) by its citizens or forced to close their doors because of lack of profit.\n\nLululemon is a sexist and racist company that fat shames their own customers. They exploit their employees in the Us and abroad.",1,2,313,54
"Walmart is known for it's stellar customer service where the employees are knowledgeable about the products .... Ohhh wait I must be hallucinating.  Waited and waited at the electronics counter for help. There was three employees standing around doing nothing so I went and asked them to get some help.  A young lady tells me an associate will be right with me and points to him.  There's two guys helping one lady in the printer section.  Eventually she goes to get his attention that I am waiting at check out, so the associate arrives looks at my girlfriend and I and helps another person first who just walked up to the counter that moment!  Rude people didn't even concede the first place position to us even though everyone saw us standing there. I said screw this even though you aren't supposed to take electronics products out of the area I started walking to be checked out by a less rude employee.  As I'm starting to leave the girl who I originally approached to ask for help offers to ring up our order after she sees that the other associate turned his back to us.  Then as we're about to exit the building two employees are locking one of the entrances up for the night shift. Right as we're about to walk out they close the doors and tell is to go the other way even though we saw the doors were still open as we were approaching. After some negotiation the door was opened and I left to get as far away as I could from that forsaken building of shameful service. This was one of the worst customer service experiences I've ever had and I know customer service I was a food server for 3 years.",0,1,1609,297
Sound is a bit bouncy & shrill here. SouthPoint south-most bar has great football sound.  From Super Bowl Sunday...,2,3,115,19
"First time eating at this location....their service and food is consistent with any other location I've eaten at. \n\nWe sat at the bar, avoiding a 45 minute wait for a table, on a Saturday night at 5:30! They have call ahead seating, but we decided to stop in last minute.\n\nI like bar service myself, because there is someone there all the time, you never have to wait for a server to stop by.\n\nTheir infamous bread and cinnamon butter were gone in seconds....but a second helping would have been too much, because we ordered their crazy delicious fall of the bone ribs for an appetizer. Seriously, these ribs, no matter what, are hands down THE most delicious. I am not a fan of BBQ, but the sauce is toned down, smokey, not tangy.\n\nI ordered the 6oz sirloin, medium rare, with a side Caesar salad and baked potato. Steak was amazing! Quality and taste are out if this world. My husband had the country fried sirloin steak with gravy, house salad and green beans. I wasn't a fan of his entree because it was fried and had gravy, but he said it was delish. The green beans were cooked with bacon..I did not like at all, but he finished the whole thing!\n\nNo dessert for us, because in all reality, their dessert menu is boring, but after all that food, who wants dessert anyway.\n\nAtmosphere is super loud and the bar was a bit over the top with some heavy handed drinkers. I prefer the atmosphere at the Peoria location, but none the less, had a great time :)",4,5,1469,265
Toyama Express is really good. I came here for lunch a couple of days ago with a client. It is essentially a walk-up counter and then they bring your good to your table. There is a huge lunch rush about noon so be prepared. The food still came out fast.\n\nI got the steak and scallops. The meat was very tender and cooked perfectly. The orange sauce on the side was excellent for dipping the meat and seafood. I also mixed it in with my rice. The service was excellent. Patio seating was pleasant. Excellent value for the price. I will be back again!,4,5,551,103
"This has always been my 'go to' place to buy the most awesome, authentic flour tortillas.  I always  bought them fresh, still warm at times.  I have often served them at my  home and have sent many friends to shop there. Yesterday, I raved about how wonderful they were to a total stranger and we both bought 2 packages from 'the fridge up front'.  I was so so very disappointed and if the person I 'sold' them to reads YELP, I apologize. They were dry and stale.  Steaming them made them somewhat edible, but.....\nWhich leads to my next review....\nI was so excited when they opened their restaurant as they sell  such tasty tacos on the street.  I have been there 3 times.  First off, THE  BEST margarita!  Food ok but service......horrible!!  The most efficient wait staff appears to be a 10-12 year old boy who has made our guacamole and aims to please.  When we were there over the weekend, the waiter outside  could do nothing more than tell us how busy he was and how he had to take the steps with each order. He got our salsa order wrong so needless to say, we left. \nThis makes me sad to write this. Did they bite off more than  they can chew?",1,2,1154,213
"One of the better Primanti Brothers.  When you go into this place you really get the feel of what Primanti's is supposed to be.  Nothing fancy, just some basic tables and an menu of the huge Pittsburgh sandwich with choice of meat/cheese and fries, coleslaw, and tomato in the sandwich.  It's huge and hard to eat but delicious and a must try if you've never been to Pittsburgh.\n\nOne nice thing about this location is that it has just been remodeled a bit everything in the kitchen area looks really clean.  Don't worry, they did not make anything fancy though, you still get that Prmanti's feeling when you walk into the place.\n\nThe manager at this location also took the time to personally great our table.  Nice touch!",3,4,725,126
I love Capriotti's... Just not this location. Dirty restaurant and employees that looked like they were hired right out of a homeless shelter.,1,2,142,23
Bad service altogether,0,1,22,3
Kinnaree is a 3.5 for me based on a few reasons. It was very dark in the restaurant; the yellow curry was too sweet and watery; the pad kee mao was pretty bland.\n\nI will still be back because I like the fact that they have brown rice and the quality of food is good.,2,3,268,54
